sixlettercode	haploidchr	wecounted	literature
agerar	30	T	F
avirgi	10	T	F
blagur	30	T	F
cserru	10	F	T
crefra	10	T	F
etrips	10	T	F
hconto	20	T	F
sscopa	20	T	F
snutan	20	T	F
ttrian	10	T	F
achine	20	F	T
ccitra	20	F	F
smicro	10	F	T
hcompr	27	F	T
udigit	30	F	F
vcuspi	20	F	T
rrottb	16	F	T
rtuber	9	F	T
ppanic	10	F	T
telega	10	F	T
atenui	20	F	F
tdacs1	18	F	T
tdacs2	18	F	T
tdacn1	18	F	T
tdacn2	18	F	T
irugos	10	F	T
zdmomo	10	F	T
zdgigi	10	F	T
zmhuet	10	F	T
znicar	10	F	T
zluxur	10	F	T
zTIL18	10	F	T
zTIL25	10	F	T
zTIL01	10	F	T
zTIL11	10	F	T
zmB735	10	F	T
