genome	latitude	longitude	latloose	longloose
pprate	49.07426	-96.7431	49.07426	-96.7431
achine	-9.6074167	31.0262167	-9.6074167	31.0262167
agerar	50.2858333	-97.5144444	50.2858	-97.5144444
atenui	15.2289	105.1763167	15.2289	105.1763167
avirgi	38.7163	-90.8161	38.7163	-90.8161
blagur	33.9375	-103.14	33.9375	-103.14
cserru	Pakistan	NA	30.3753	69.3451
ccitra	18.374667	-64.893733	18.374667	-64.893733
crefra	-33.223208	150.226192	-33.223208	150.226192
etrips	28.31466	-82.0584	28.31466	-82.0584
hcompr	Japan	NA	36.2048	138.2529
hconto	-14.55925	132.46082	-14.55925	132.46082
irugos	13.802717	74.646767	13.802717	74.646767
ppanic	NA	NA	NA	NA
rrottb	-10.6166667	35.6333333	-10.6166667	35.6333333
rtuber	27.80451	-81.47607	27.80451	-81.47607
smicro	-30.344218	-54.321891	-30.344218	-54.321891
sscopa	39.0886	-96.5536	39.0886	-96.5536
snutan	39.0886	-96.5536	39.0886	-96.5536
telega	-7.3223333	37.1512	-7.3223333	37.1512
ttrian	-35.4705428	149.7892548	-35.4705428	149.7892548
tdactm	33.3935	-88.5854	33.3935	-88.5854
tdacs1	28.6325	-82.34556	28.6325	-82.34556
tdacn1	38.76583	-97.57222	38.76583	-97.57222
tzopol	17.835527	-99.56725	17.835527	-99.56725
udigit	-8.8265167	31.4176167	-8.8265167	31.4176167
vcuspi	0.5414	36.0730667	0.5414	36.0730667
zdmomo	19.5875	-104.2639	19.5875	-104.2639
zdgigi	19.5875	-104.2639	19.5875	-104.2639
zluxur	Mexico	NA	Mexico	NA
zmhuet	15.65	-91.767	15.65	-91.767
zTIL18	Chalco	NA	19.2624	-98.8969
zTIL25	Central Plateau	NA	20.917	-101.1617
zTIL01	Balsas	NA	17.9373	-102.136
zTIL11	Jalisco	NA	20.6595	-103.3494
znicar	12.8958	-86.9833	12.8958	-86.9833
