Ontology	GO	Orthogroup	gene_descriptions
BP	GO:0008285	OG0013576	Homeobox domain-containing protein ; HB transcription factor 
BP	GO:0008285	OG0015682	transcription factor MYB36-like ; Putative MYB DNA-binding domain superfamily protein 
BP	GO:0010371	OG0013576	Homeobox domain-containing protein ; HB transcription factor 
BP	GO:0010400	OG0018938	Glycosyl transferase 64 domain-containing protein ; Glycosyltransferase family 64 protein C4 
BP	GO:0019919	OG0013545	Methyltransferase domain-containing protein 
BP	GO:0035987	OG0015682	transcription factor MYB36-like ; Putative MYB DNA-binding domain superfamily protein 
BP	GO:0010305	OG0015048	Protein NO VEIN C-terminal domain-containing protein ; Histidine kinase-DNA gyrase B-and HSP90-like ATPase family protein 
BP	GO:0010305	OG0017885	UniRef90_A0A1D6L709Probable glutamate carboxypeptidase VP8 ; Putative membrane localized peptidase 
BP	GO:0006481	OG0016829	Prefoldin subunit 5 
BP	GO:0010081	OG0017885	UniRef90_A0A1D6L709Probable glutamate carboxypeptidase VP8 ; Putative membrane localized peptidase 
BP	GO:0010483	OG0015891	Oligosaccharide transporter ; Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3 
BP	GO:2000038	OG0015413	Protein kinase domain-containing protein ; LRR receptor-like serine/threonine-protein kinase ERL2 
BP	GO:0034394	OG0014705	FAS1 domain-containing protein 
BP	GO:0046951	OG0014896	hydroxymethylglutaryl-CoA lyase 
BP	GO:0071076	OG0015602	Protein HESO1 
BP	GO:0070301	OG0019286	NAC domain-containing protein ; NAC domain-containing protein 17 
BP	GO:0010042	OG0015600	Cation efflux protein cytoplasmic domain-containing protein 
BP	GO:0010080	OG0017885	UniRef90_A0A1D6L709Probable glutamate carboxypeptidase VP8 ; Putative membrane localized peptidase 
BP	GO:0016598	OG0014754	CBM20 domain-containing protein 
BP	GO:1904825	OG0016832	Microtubule-associated protein RP/EB family member 1C 
BP	GO:0045454	OG0013396	Cytochrome C biogenesis protein transmembrane domain-containing protein 
BP	GO:0045454	OG0019325	SelT-like protein 
BP	GO:0002128	OG0018938	Glycosyl transferase 64 domain-containing protein ; Glycosyltransferase family 64 protein C4 
