Ontology	GO	Orthogroup	gene_descriptions
BP	GO:0046777	OG0001408	Serine/threonine-protein phosphatase ; UniRef90_A2X2G3Serine/threonine-protein phosphatase PP2A-3 catalytic subunit ; protein-serine/threonine phosphatase 
BP	GO:0046777	OG0001415	Protein kinase domain-containing protein ; CDPK-related kinase 1 
BP	GO:0046777	OG0001870	Calcium-dependent protein kinase 20 
BP	GO:0046777	OG0001931	Calcium-dependent protein kinase 13 
BP	GO:0046777	OG0001951	non-specific serine/threonine protein kinase 
BP	GO:0046777	OG0001973	Calcium-dependent protein kinase ; CDPK protein ; UniRef90_Q9FXQ3Calcium-dependent protein kinase 13 ; calcium-dependent protein kinase 13-like ; UniRef90_Q0DYK7Calcium-dependent protein kinase 5 
BP	GO:0046777	OG0002015	UniRef90_A2ZVI7Calcium-dependent protein kinase 1 ; Calcium-dependent protein kinase ; UniRef90_Q6I587Calcium-dependent protein kinase 15 
BP	GO:0048766	OG0001626	Integral membrane Yip1 family protein ; Protein YIP 
BP	GO:0048766	OG0001829	Dynamin-2A ; dynamin GTPase 
BP	GO:0048766	OG0002131	UniRef90_Q6EP31Rac-like GTP-binding protein 5 ; Rac-like GTP-binding protein 5 isoform X2 ; UniRef90_Q6ZHA3Rac-like GTP-binding protein 6 ; Rac-like GTP-binding protein 5 
BP	GO:0015790	OG0001374	Sugar phosphate transporter domain-containing protein 
BP	GO:0015790	OG0001708	Nucleotide/sugar transporter family protein ; Sugar phosphate transporter domain-containing protein ; cytokinin riboside 5'-monophosphate phosphoribohydrolase 
BP	GO:0018105	OG0001415	Protein kinase domain-containing protein ; CDPK-related kinase 1 
BP	GO:0018105	OG0001870	Calcium-dependent protein kinase 20 
BP	GO:0018105	OG0001931	Calcium-dependent protein kinase 13 
BP	GO:0018105	OG0001973	Calcium-dependent protein kinase ; CDPK protein ; UniRef90_Q9FXQ3Calcium-dependent protein kinase 13 ; calcium-dependent protein kinase 13-like ; UniRef90_Q0DYK7Calcium-dependent protein kinase 5 
BP	GO:0018105	OG0002015	UniRef90_A2ZVI7Calcium-dependent protein kinase 1 ; Calcium-dependent protein kinase ; UniRef90_Q6I587Calcium-dependent protein kinase 15 
BP	GO:0002181	OG0001506	RNA helicase ; UniRef90_Q41741Eukaryotic initiation factor 4A 
BP	GO:0002181	OG0001535	Ribosomal protein L15 
BP	GO:0002181	OG0001927	Ribosomal protein L22 ; Large ribosomal subunit protein eL22 
BP	GO:0002181	OG0002207	CDT1 Geminin-binding domain-containing protein ; CDT1-like protein a chloroplastic 
BP	GO:0002181	OG0004184	60S acidic ribosomal protein P1 
BP	GO:0035556	OG0001408	Serine/threonine-protein phosphatase ; UniRef90_A2X2G3Serine/threonine-protein phosphatase PP2A-3 catalytic subunit ; protein-serine/threonine phosphatase 
BP	GO:0035556	OG0001412	14-3-3 domain-containing protein ; Putative 14-3-3 protein 
BP	GO:0035556	OG0001415	Protein kinase domain-containing protein ; CDPK-related kinase 1 
BP	GO:0035556	OG0001695	non-specific serine/threonine protein kinase ; UniRef90_Q6ZI44Serine/threonine-protein kinase SAPK6 
BP	GO:0035556	OG0001870	Calcium-dependent protein kinase 20 
BP	GO:0035556	OG0001921	AP2/ERF domain-containing protein ; UniRef90_B6T5Z6Ethylene-responsive transcription factor WIN1 ; Ethylene-responsive transcription factor WIN1 ; ERF6.3 ; Putative AP2/EREBP transcription factor superfamily protein 
BP	GO:0035556	OG0001931	Calcium-dependent protein kinase 13 
BP	GO:0035556	OG0001953	Protein kinase domain-containing protein ; non-specific serine/threonine protein kinase 
BP	GO:0035556	OG0001973	Calcium-dependent protein kinase ; CDPK protein ; UniRef90_Q9FXQ3Calcium-dependent protein kinase 13 ; calcium-dependent protein kinase 13-like ; UniRef90_Q0DYK7Calcium-dependent protein kinase 5 
BP	GO:0035556	OG0002015	UniRef90_A2ZVI7Calcium-dependent protein kinase 1 ; Calcium-dependent protein kinase ; UniRef90_Q6I587Calcium-dependent protein kinase 15 
BP	GO:0035556	OG0002131	UniRef90_Q6EP31Rac-like GTP-binding protein 5 ; Rac-like GTP-binding protein 5 isoform X2 ; UniRef90_Q6ZHA3Rac-like GTP-binding protein 6 ; Rac-like GTP-binding protein 5 
BP	GO:0009738	OG0001482	Protein phosphatase 2A structural subunit ; TOG domain-containing protein ; Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform ; Protein phosphatase PP2A regulatory subunit A 
BP	GO:0009738	OG0001695	non-specific serine/threonine protein kinase ; UniRef90_Q6ZI44Serine/threonine-protein kinase SAPK6 
BP	GO:0009738	OG0001928	Histone H2A/H2B/H3 domain-containing protein ; Transcription factor CBF/NF-Y/archaeal histone domain-containing protein ; CCAAT-HAP5 transcription factor ; Os09g0480700 protein 
BP	GO:0009738	OG0001953	Protein kinase domain-containing protein ; non-specific serine/threonine protein kinase 
BP	GO:0009738	OG0002015	UniRef90_A2ZVI7Calcium-dependent protein kinase 1 ; Calcium-dependent protein kinase ; UniRef90_Q6I587Calcium-dependent protein kinase 15 
BP	GO:0009691	OG0001708	Nucleotide/sugar transporter family protein ; Sugar phosphate transporter domain-containing protein ; cytokinin riboside 5'-monophosphate phosphoribohydrolase 
BP	GO:0009691	OG0001987	Cytokinin riboside 5'-monophosphate phosphoribohydrolase 
BP	GO:0009958	OG0001976	ABC transporter B family member 19 
BP	GO:0009958	OG0002131	UniRef90_Q6EP31Rac-like GTP-binding protein 5 ; Rac-like GTP-binding protein 5 isoform X2 ; UniRef90_Q6ZHA3Rac-like GTP-binding protein 6 ; Rac-like GTP-binding protein 5 
BP	GO:0042325	OG0001408	Serine/threonine-protein phosphatase ; UniRef90_A2X2G3Serine/threonine-protein phosphatase PP2A-3 catalytic subunit ; protein-serine/threonine phosphatase 
BP	GO:0042325	OG0001482	Protein phosphatase 2A structural subunit ; TOG domain-containing protein ; Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform ; Protein phosphatase PP2A regulatory subunit A 
BP	GO:0042325	OG0004184	60S acidic ribosomal protein P1 
BP	GO:0015843	OG0001609	UniRef90_Q9ATL9Aquaporin TIP2-1 ; Tonoplast intrinsic protein ; UniRef90_Q84RL6Aquaporin TIP2-3 
BP	GO:0015843	OG0001798	Ammonium transporter ; ammonium transporter 1 member 1 isoform X1 
BP	GO:0009742	OG0001403	Serine/threonine-protein phosphatase 
BP	GO:0009742	OG0001537	UniRef90_A2X9L8Transcription factor ILI5 ; BHLH domain-containing protein ; Transcription factor ILI5 
BP	GO:0009742	OG0001951	non-specific serine/threonine protein kinase 
BP	GO:0070262	OG0001408	Serine/threonine-protein phosphatase ; UniRef90_A2X2G3Serine/threonine-protein phosphatase PP2A-3 catalytic subunit ; protein-serine/threonine phosphatase 
BP	GO:0010157	OG0002187	Heat shock protein 90-5 chloroplastic ; Histidine kinase/HSP90-like ATPase domain-containing protein ; Heat shock protein 90-5, chloroplastic 
BP	GO:0060485	OG0001408	Serine/threonine-protein phosphatase ; UniRef90_A2X2G3Serine/threonine-protein phosphatase PP2A-3 catalytic subunit ; protein-serine/threonine phosphatase 
