Count	genome	Monophyletic	Polyphyletic	NotApplicable
0	achine	0	0	135
0	agerar	0	0	782
0	atenui	0	0	114
0	avirgi	0	0	150
0	blagur	0	0	289
0	ccitra	0	0	283
0	crefra	0	0	116
0	cserru	0	0	499
0	etrips	0	0	567
0	hcompr	0	0	1602
0	hconto	0	0	301
0	irugos	0	0	161
0	ppanic	0	0	228
0	rrottb	0	0	184
0	rtuber	0	0	217
0	sbicol	0	0	104
0	smicro	0	0	264
0	snutan	0	0	929
0	sscopa	0	0	820
0	tdacn1	0	0	138
0	tdacn2	0	0	199
0	tdacs1	0	0	121
0	tdacs2	0	0	158
0	telega	0	0	126
0	ttrian	0	0	569
0	udigit	0	0	436
0	vcuspi	0	0	198
0	zTIL01	0	0	83
0	zTIL11	0	0	66
0	zTIL18	0	0	57
0	zTIL25	0	0	86
0	zdgigi	0	0	96
0	zdmomo	0	0	359
0	zluxur	0	0	136
0	zmB735	0	0	63
0	zmhuet	0	0	94
0	znicar	0	0	126
1	achine	0	0	101
1	agerar	0	0	5
1	atenui	0	0	86
1	avirgi	0	0	6752
1	blagur	0	0	6
1	ccitra	0	0	22
1	crefra	0	0	6784
1	cserru	0	0	2044
1	etrips	0	0	491
1	hcompr	0	0	9
1	hconto	0	0	13
1	irugos	0	0	6367
1	ppanic	0	0	6585
1	rrottb	0	0	518
1	rtuber	0	0	6673
1	sbicol	0	0	6798
1	smicro	0	0	6635
1	snutan	0	0	550
1	sscopa	0	0	115
1	tdacn1	0	0	3882
1	tdacn2	0	0	3849
1	tdacs1	0	0	3877
1	tdacs2	0	0	3872
1	telega	0	0	463
1	ttrian	0	0	1428
1	udigit	0	0	26
1	vcuspi	0	0	72
1	zTIL01	0	0	4540
1	zTIL11	0	0	4611
1	zTIL18	0	0	4558
1	zTIL25	0	0	4573
1	zdgigi	0	0	3259
1	zdmomo	0	0	3956
1	zluxur	0	0	4541
1	zmB735	0	0	4600
1	zmhuet	0	0	4460
1	znicar	0	0	4159
2	achine	5240	784	0
2	agerar	13	35	0
2	atenui	1060	1	0
2	avirgi	0	3	0
2	blagur	13	2	0
2	ccitra	160	107	0
2	crefra	0	5	0
2	cserru	4340	22	0
2	etrips	5450	62	0
2	hcompr	4	0	0
2	hconto	24	2	0
2	irugos	369	8	0
2	ppanic	91	1	0
2	rrottb	6119	36	0
2	rtuber	7	8	0
2	sbicol	2	1	0
2	smicro	0	6	0
2	snutan	1509	9	0
2	sscopa	230	494	0
2	tdacn1	0	2885	0
2	tdacn2	0	2857	0
2	tdacs1	0	2907	0
2	tdacs2	0	2875	0
2	telega	6247	58	0
2	ttrian	4839	69	0
2	udigit	337	1	0
2	vcuspi	2011	7	0
2	zTIL01	7	2240	0
2	zTIL11	0	2228	0
2	zTIL18	13	2230	0
2	zTIL25	1	2210	0
2	zdgigi	271	2103	0
2	zdmomo	28	2067	0
2	zluxur	16	2197	0
2	zmB735	3	2228	0
2	zmhuet	24	2252	0
2	znicar	172	1999	0
3	achine	538	103	0
3	agerar	54	267	0
3	atenui	2771	13	0
3	blagur	22	5	0
3	ccitra	878	1586	0
3	etrips	319	12	0
3	hcompr	7	0	0
3	hconto	159	5	0
3	rrottb	43	4	0
3	snutan	2336	30	0
3	sscopa	3	2115	0
3	telega	8	2	0
3	udigit	5961	120	0
3	vcuspi	4246	18	0
3	zTIL01	0	35	0
3	zTIL18	0	47	0
3	zTIL25	0	35	0
3	zdgigi	6	910	0
3	zdmomo	0	483	0
3	zluxur	0	15	0
3	zmB735	0	11	0
3	zmhuet	0	75	0
3	znicar	0	430	0
4	achine	1	3	0
4	agerar	113	1391	0
4	atenui	2836	24	0
4	blagur	135	40	0
4	ccitra	931	2043	0
4	etrips	4	0	0
4	hcompr	44	1	0
4	hconto	6098	303	0
4	rrottb	0	1	0
4	snutan	1527	15	0
4	sscopa	1	3127	0
4	telega	1	0	0
4	udigit	6	5	0
4	vcuspi	349	4	0
4	zdgigi	0	260	0
4	zdmomo	0	12	0
4	znicar	0	19	0
5	agerar	152	1945	0
5	blagur	650	260	0
5	ccitra	250	608	0
5	hcompr	418	5	0
5	udigit	11	1	0
6	agerar	132	2016	0
6	blagur	3993	1490	0
6	ccitra	7	30	0
6	hcompr	4761	54	0
6	udigit	1	0	0
