genome	nfam	H	S	HN	J	JN	ploidy	haploidRepeatSize	mya
achine	35667	8.74183309106027	35667	9.06491749937407	0.833986719575556	0.86480955764955	Tetraploid	789601102	4.26158364328108
agerar	96280	9.06460622079004	96280	9.10905206905936	0.789942803233147	0.793816074406628	Hexaploid	1608658433	3.87446232682465
atenui	36775	8.18604813621368	36775	8.23544076995441	0.778691164519028	0.783389598592007	Tetraploid	551028300.5	1.61654309263952
avirgi	16008	7.62415162266909	16008	8.20075003431761	0.78755031277415	0.847111072044557	Diploid	580187431	0
blagur	44791	8.42200187246175	44791	8.66993099547456	0.786385493445198	0.809535317999069	Hexaploid	1042946383	5.90657576877844
ccitra	59481	8.80842664883942	59481	8.7762096938015	0.801245916948163	0.798315347765977	Tetraploid	743887922	2.70470511216336
crefra	20062	7.90268842379136	20062	8.03118362424161	0.7977209313528	0.810691619994522	Diploid	518914505	0
cserru	26109	8.299079252288	26109	8.71943432127304	0.816032487334295	0.857365192093425	Diploid	316166314	0
etrips	53560	8.25175043404625	53560	8.17536537219009	0.757836858265468	0.750821690301026	Tetraploid	3456784149	3.8444787428513
hcompr	120510	8.83037608982542	120510	9.08729647139547	0.754766027174265	0.776725995099205	Hexaploid	2237981961	1.52728159556422
hconto	45642	9.03691837708242	45642	9.20678954148629	0.842321660864616	0.858155173502789	Tetraploid	567903892.5	3.71630137683411
irugos	23618	8.46523445563163	23618	8.30222647290337	0.840658639978528	0.824470775391408	Diploid	405850534	0
ppanic	15770	7.52726258019329	15770	7.99746927856694	0.778746943954393	0.827393052082584	Diploid	520289773	0
rrottb	38340	8.60749621588509	38340	8.71146722575873	0.815547956310988	0.825399060800765	Tetraploid	949921854	4.37548408225142
rtuber	19324	7.38466886483609	19324	7.57309351037615	0.74826139425223	0.767353772064139	Diploid	1179427683	0
smicro	15159	7.79901092429654	15159	8.23422017543057	0.810173240349867	0.855383446188026	Diploid	584291065	0
snutan	60456	8.56147264651197	60456	8.9812092734265	0.777632007672001	0.815756364235121	Tetraploid	1490497996	2.17312661877729
sscopa	53503	8.71760669665036	53503	8.89956692044647	0.800699177651223	0.817411952914961	Tetraploid	1150884585.5	4.46718167213026
tdacn1	44036	8.03896481368815	44036	8.42604062392855	0.75181363263923	0.788013426735617	Paleotetraploid	2150528540	13.2500744906375
tdacn2	46861	8.43259339920883	46861	8.44967490608317	0.784066910124405	0.785655157497566	NA	NA	NA
tdacs1	49095	8.3610259231362	49095	8.62860816255315	0.774060664376462	0.798833328391924	Paleotetraploid	2309226911	13.213349551243
tdacs2	43077	8.074290517458	43077	8.47114936685677	0.756675461988286	0.79386676103353	NA	NA	NA
telega	37313	7.64283802771417	37313	7.03372537826679	0.726015726521476	0.668154319395173	Diploid	1145798534	0
ttrian	31622	8.37680710745093	31622	8.73993093032677	0.80844660563449	0.843491727034967	Diploid	395333418	0
udigit	78600	8.99283793177776	78600	9.08990109873155	0.797794236083067	0.806405136859792	Hexaploid	3706582941	3.30501303667225
vcuspi	24755	7.79774170357333	24755	8.02446889828906	0.770772871430596	0.793183869068843	Tetraploid	620200911.5	1.06364369703325
zTIL01	69706	8.67644439149418	69706	8.13156400524536	0.778013985543672	0.72915473608365	Paleotetraploid	2163514042	14.436828402989
zTIL11	68206	8.72583138295606	68206	8.06659703083916	0.783971764864822	0.724742896484659	Paleotetraploid	1950381768	15.0188665627843
zTIL18	62198	8.01542568146446	62198	7.6205345074734	0.726161347248609	0.690385991289031	Paleotetraploid	2081999391	14.8631323179717
zTIL25	55897	8.31836759719654	55897	7.71057534569509	0.760970193614478	0.705368925469233	Paleotetraploid	1722707510	14.8145673201728
zdgigi	70671	8.30895974280599	70671	8.26888930570117	0.744144329091748	0.74055565018864	Paleotetraploid	2740951583	11.2159677776676
zdmomo	65720	8.60875171410963	65720	8.09915209119673	0.776041526686678	0.730103336981879	Paleotetraploid	2079935113	11.2564450334986
zluxur	80740	8.65260259023071	80740	8.43038342694406	0.765785530740811	0.746118359144327	Paleotetraploid	2658726801	14.8805341573301
zmB735	27425	5.89414550151778	27425	6.69264019506347	0.57677113368404	0.654907767657267	Paleotetraploid	1738376924	15.1660423149792
zmhuet	69948	8.93114558472145	69948	8.13171053748899	0.800604156693219	0.728941343031839	Paleotetraploid	1987543053	14.3194012165942
znicar	90541	8.59406644338157	90541	8.20669272435443	0.752969967284345	0.719030181216329	Paleotetraploid	3411190476	11.4434255193671
