#chrom	subgenome	bootstrap
scaf_1	SG1	100
scaf_29	SG1	100
scaf_16	SG1	100
scaf_4	SG1	100
scaf_5	SG1	100
scaf_11	SG1	100
scaf_8	SG1	100
scaf_9	SG1	100
scaf_12	SG1	100
scaf_18	SG1	100
scaf_17	SG1	100
scaf_7	SG2	100
scaf_10	SG2	100
scaf_23	SG2	100
scaf_21	SG2	100
scaf_41	SG2	100
scaf_33	SG2	100
scaf_26	SG2	100
scaf_25	SG2	100
scaf_24	SG2	100
scaf_27	SG2	100
scaf_19	SG2	100
scaf_2	SG3	100
scaf_3	SG3	100
scaf_34	SG3	100
scaf_30	SG3	100
scaf_35	SG3	100
scaf_6	SG3	100
scaf_28	SG3	100
scaf_13	SG3	100
scaf_15	SG3	100
scaf_22	SG3	100
scaf_37	SG3	99
scaf_14	SG3	100
scaf_20	SG3	100
