gene	svirid	achine	agerar	agerjg	avirgi	bdista	blagur	ccitra	crefra	cserru	etrips	hcompr	hconto	irugos	ppanic	rrottb	sbicol	smicro	sscopa	tdacn1	tdacn2	tdacs1	tdacs2	tdactm	telega	ttrian	tzopol	udigit	vcuspi	zTIL01	zTIL11	zTIL18	zTIL25	zdgigi	zdmomo	zluxur	zmB735	zmhuet	znicar	atenui	rtuber	eophiu	osativ	snutan	pprate
Pavag01G000100.1.v3.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag01G000200.1.v3.1	1	2	3	5	1	1	2	1	1	2	2	6	4	1	1	1	1	1	3	1	1	1	1	2	2	1	2	3	2	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0
Pavag01G000500.1.v3.1	1	0	4	5	1	1	2	3	1	0	0	6	4	0	0	0	1	1	3	1	1	1	1	2	0	1	2	2	2	1	1	1	1	2	1	1	1	1	1	4	0	0	0	0	0
Pavag01G000600.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	0	0	2	1	0	2	1	1	1	1	2	2	2	2	0	2	1	1	1	0	2	1	1	0	1	0	4	1	0	0	0	0
Pavag01G000700.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	0
Pavag01G000800.1.v3.1	1	2	4	5	1	0	6	3	1	2	2	1	4	1	1	1	1	1	3	1	1	1	1	2	2	2	2	2	3	1	1	1	1	2	1	1	1	1	1	4	1	1	0	3	0
Pavag01G000900.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	1	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	0
Pavag01G001000.1.v3.1	1	2	3	4	1	1	6	3	1	1	2	6	3	1	1	2	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	0	1	1	1	3	0
Pavag01G001100.1.v3.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pavag01G001200.1.v3.1	1	2	5	6	1	1	6	3	1	1	2	6	3	1	1	2	1	1	2	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	2	0
Pavag01G001300.1.v3.1	1	2	5	6	1	1	6	3	1	1	2	6	3	1	1	2	1	1	2	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	0	0
Pavag01G001400.1.v3.1	1	0	4	4	0	0	3	3	1	0	1	6	0	0	1	2	1	1	2	1	1	1	1	3	1	2	2	3	3	1	1	1	1	0	0	1	1	1	1	3	0	1	0	0	0
Pavag01G001600.1.v3.1	1	2	5	6	1	1	5	4	1	1	2	6	4	1	1	2	1	1	2	1	1	1	1	2	2	0	1	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	0
Pavag01G001700.1.v3.1	0	2	5	0	0	0	0	4	1	1	2	6	0	1	1	0	1	1	0	1	1	1	1	2	2	2	1	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	4	0
Pavag01G001800.1.v3.1	0	2	0	0	0	1	6	4	1	2	2	4	4	1	0	0	1	1	2	0	1	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	0
Pavag01G002100.1.v3.1	1	2	5	5	1	1	6	2	1	2	2	5	4	1	1	2	0	1	3	0	1	0	0	0	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	0
Pavag01G002300.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	0	2	2	2	2	2	5	2	2	4	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	4
Pavag01G002400.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	0	2	1	1	1	1	3	2	2	3	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	0	2	4
Pavag01G002500.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	1	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	5
Pavag01G002600.1.v3.1	1	2	5	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	4	2	2	2	2	5	0	2	4	3	3	2	1	2	1	4	2	2	2	2	2	0	1	1	1	0	1
Pavag01G002700.1.v3.1	1	2	5	6	1	0	6	3	1	1	1	6	4	1	1	2	1	1	3	2	2	2	2	5	0	2	4	3	3	2	2	2	2	4	2	2	2	2	2	3	1	1	1	3	0
Pavag01G002800.1.v3.1	1	2	4	6	1	0	5	3	1	2	1	6	3	1	1	2	1	1	0	1	1	1	1	2	0	1	1	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	3	0
Pavag01G003000.1.v3.1	1	2	5	6	1	1	4	3	1	2	2	6	3	1	1	2	1	1	0	1	1	1	1	3	2	1	3	2	3	1	1	0	0	2	1	1	0	0	1	3	0	1	1	3	0
Pavag01G003100.1.v3.1	1	2	5	6	1	1	5	3	1	1	2	6	2	1	1	2	1	1	0	1	1	1	1	3	0	1	3	3	3	1	1	1	1	2	1	1	1	1	1	3	0	1	1	3	0
Pavag01G003200.1.v3.1	1	2	5	6	1	1	5	3	1	1	0	6	4	1	1	2	1	1	0	2	2	2	2	4	2	1	4	3	2	1	1	1	1	2	1	1	1	1	1	3	0	1	1	3	1
