Ortholog Group	Gene Name	Organism Name	Ortholog Gene Name	Ortholog Organism Name	Relationship
672_167_290	AT2G27170	Athaliana_TAIR10	PavagK254900	Pvaginatum_v3.1	one-to-many
672_167_290	AT2G27170	Athaliana_TAIR10	Pavag09G254300	Pvaginatum_v3.1	one-to-many
672_167_5343	AT2G45280	Athaliana_TAIR10	Pavag03G172300	Pvaginatum_v3.1	one-to-one
672_167_524	AT2G47980	Athaliana_TAIR10	Pavag05G227700	Pvaginatum_v3.1	one-to-one
672_167_1704	AT2G06510	Athaliana_TAIR10	PavagK207200	Pvaginatum_v3.1	one-to-many
672_167_1704	AT2G06510	Athaliana_TAIR10	Pavag04G294900	Pvaginatum_v3.1	one-to-many
672_167_159	AT2G31970	Athaliana_TAIR10	Pavag04G138500	Pvaginatum_v3.1	one-to-one
672_167_977	AT4G22970	Athaliana_TAIR10	Pavag04G290200	Pvaginatum_v3.1	one-to-one
672_167_434	AT4G17380	Athaliana_TAIR10	Pavag02G280500	Pvaginatum_v3.1	one-to-one
672_167_2873	AT4G35520	Athaliana_TAIR10	Pavag02G266400	Pvaginatum_v3.1	one-to-many
672_167_2873	AT4G35520	Athaliana_TAIR10	Pavag02G083600	Pvaginatum_v3.1	one-to-many
672_167_3772	AT4G30870	Athaliana_TAIR10	PavagK139900	Pvaginatum_v3.1	one-to-one
672_167_1412	AT4G21270	Athaliana_TAIR10	Pavag06G240100	Pvaginatum_v3.1	many-to-many
672_167_1412	AT4G21270	Athaliana_TAIR10	Pavag02G002800	Pvaginatum_v3.1	many-to-many
672_167_6711	AT4G29170	Athaliana_TAIR10	PavagK319000	Pvaginatum_v3.1	one-to-one
672_167_3694	AT4G00020	Athaliana_TAIR10	Pavag06G001000	Pvaginatum_v3.1	many-to-many
672_167_3694	AT4G00020	Athaliana_TAIR10	Pavag03G055000	Pvaginatum_v3.1	many-to-many
672_167_2102	AT4G14180	Athaliana_TAIR10	Pavag06G052300	Pvaginatum_v3.1	one-to-one
672_167_848	AT4G09140	Athaliana_TAIR10	Pavag03G408800	Pvaginatum_v3.1	one-to-one
672_167_7811	AT1G07080	Athaliana_TAIR10	Pavag01G387000	Pvaginatum_v3.1	one-to-one
672_167_7105	AT1G12790	Athaliana_TAIR10	Pavag09G254500	Pvaginatum_v3.1	one-to-one
672_167_3237	AT1G67370	Athaliana_TAIR10	Pavag02G234400	Pvaginatum_v3.1	one-to-one
672_167_7955	AT1G14750	Athaliana_TAIR10	Pavag01G432700	Pvaginatum_v3.1	one-to-one
672_167_1842	AT1G29400	Athaliana_TAIR10	Pavag10G001200	Pvaginatum_v3.1	one-to-one
672_167_6528	AT1G13330	Athaliana_TAIR10	Pavag01G107800	Pvaginatum_v3.1	one-to-one
672_167_3085	AT1G22260	Athaliana_TAIR10	Pavag06G117500	Pvaginatum_v3.1	many-to-one
672_167_7992	AT1G75950	Athaliana_TAIR10	Pavag04G002000	Pvaginatum_v3.1	many-to-many
672_167_7992	AT1G75950	Athaliana_TAIR10	Pavag05G135100	Pvaginatum_v3.1	many-to-many
672_167_7992	AT1G75950	Athaliana_TAIR10	Pavag04G001900	Pvaginatum_v3.1	many-to-many
672_167_9782	AT1G01690	Athaliana_TAIR10	Pavag01G514200	Pvaginatum_v3.1	one-to-one
672_167_5258	AT1G53490	Athaliana_TAIR10	Pavag04G096400	Pvaginatum_v3.1	one-to-many
672_167_5258	AT1G53490	Athaliana_TAIR10	Pavag10G162700	Pvaginatum_v3.1	one-to-many
672_167_3887	AT1G63990	Athaliana_TAIR10	Pavag07G049600	Pvaginatum_v3.1	one-to-many
672_167_3887	AT1G63990	Athaliana_TAIR10	Pavag07G049800	Pvaginatum_v3.1	one-to-many
672_167_9353	AT1G06660	Athaliana_TAIR10	Pavag10G223500	Pvaginatum_v3.1	many-to-many
672_167_9353	AT1G06660	Athaliana_TAIR10	Pavag04G050200	Pvaginatum_v3.1	many-to-many
672_167_1758	AT1G35530	Athaliana_TAIR10	Pavag05G088100	Pvaginatum_v3.1	one-to-one
672_167_6244	AT1G34355	Athaliana_TAIR10	Pavag05G078300	Pvaginatum_v3.1	one-to-one
672_167_1880	AT1G77320	Athaliana_TAIR10	Pavag05G095500	Pvaginatum_v3.1	one-to-one
672_167_4649	AT1G66170	Athaliana_TAIR10	Pavag01G103400	Pvaginatum_v3.1	one-to-one
672_167_7744	AT3G52115	Athaliana_TAIR10	Pavag10G191600	Pvaginatum_v3.1	one-to-one
672_167_4002	AT3G48750	Athaliana_TAIR10	Pavag01G504700	Pvaginatum_v3.1	one-to-one
672_167_5943	AT3G02680	Athaliana_TAIR10	Pavag01G197000	Pvaginatum_v3.1	one-to-one
672_167_5016	AT3G13170	Athaliana_TAIR10	Pavag01G078600	Pvaginatum_v3.1	one-to-one
672_167_1794	AT3G25100	Athaliana_TAIR10	Pavag08G012000	Pvaginatum_v3.1	one-to-one
672_167_10472	AT3G57860	Athaliana_TAIR10	Pavag04G179100	Pvaginatum_v3.1	many-to-many
672_167_10472	AT3G57860	Athaliana_TAIR10	Pavag06G131400	Pvaginatum_v3.1	many-to-many
672_167_10472	AT3G57860	Athaliana_TAIR10	Pavag10G053300	Pvaginatum_v3.1	many-to-many
672_167_656	AT3G20475	Athaliana_TAIR10	Pavag09G190600	Pvaginatum_v3.1	one-to-one
672_167_27	AT3G48190	Athaliana_TAIR10	Pavag03G087400	Pvaginatum_v3.1	one-to-one
672_167_3279	AT3G22880	Athaliana_TAIR10	Pavag05G044100	Pvaginatum_v3.1	one-to-one
672_167_555	AT3G12280	Athaliana_TAIR10	Pavag07G208400	Pvaginatum_v3.1	one-to-one
672_167_437	AT3G27730	Athaliana_TAIR10	Pavag04G198100	Pvaginatum_v3.1	one-to-one
672_167_406	AT3G18524	Athaliana_TAIR10	Pavag03G137500	Pvaginatum_v3.1	one-to-one
672_167_2189	AT5G61960	Athaliana_TAIR10	Pavag06G075600	Pvaginatum_v3.1	many-to-many
672_167_2189	AT5G61960	Athaliana_TAIR10	Pavag04G145600	Pvaginatum_v3.1	many-to-many
672_167_152	AT5G15540	Athaliana_TAIR10	Pavag02G006600	Pvaginatum_v3.1	one-to-one
672_167_458	AT5G63920	Athaliana_TAIR10	Pavag01G470500	Pvaginatum_v3.1	one-to-one
672_167_2435	AT5G48390	Athaliana_TAIR10	Pavag03G364000	Pvaginatum_v3.1	one-to-one
672_167_184	AT5G62410	Athaliana_TAIR10	Pavag03G371600	Pvaginatum_v3.1	many-to-one
672_167_975	AT5G54260	Athaliana_TAIR10	Pavag06G246300	Pvaginatum_v3.1	one-to-one
672_167_7745	AT5G51330	Athaliana_TAIR10	Pavag01G141000	Pvaginatum_v3.1	one-to-one
672_167_25	AT5G40820	Athaliana_TAIR10	Pavag10G259800	Pvaginatum_v3.1	one-to-one
672_167_8292	AT5G57450	Athaliana_TAIR10	Pavag04G165700	Pvaginatum_v3.1	one-to-one
672_167_7943	AT5G57880	Athaliana_TAIR10	Pavag07G223800	Pvaginatum_v3.1	one-to-one
672_167_9535	AT5G48720	Athaliana_TAIR10	Pavag03G381300	Pvaginatum_v3.1	one-to-one
672_167_5932	AT5G05490	Athaliana_TAIR10	Pavag09G136800	Pvaginatum_v3.1	one-to-one
672_167_2863	AT5G20850	Athaliana_TAIR10	Pavag08G075300	Pvaginatum_v3.1	one-to-many
672_167_2863	AT5G20850	Athaliana_TAIR10	PavagK006200	Pvaginatum_v3.1	one-to-many
672_167_2863	AT5G20850	Athaliana_TAIR10	Pavag05G210500	Pvaginatum_v3.1	one-to-many
672_167_5713	AT5G63540	Athaliana_TAIR10	Pavag06G071000	Pvaginatum_v3.1	one-to-one
672_167_2597	AT5G19400	Athaliana_TAIR10	Pavag02G137000	Pvaginatum_v3.1	one-to-one
672_167_4483	AT5G52290	Athaliana_TAIR10	Pavag04G210500	Pvaginatum_v3.1	one-to-one
672_167_2189	AT5G07290	Athaliana_TAIR10	Pavag06G075600	Pvaginatum_v3.1	many-to-many
672_167_2189	AT5G07290	Athaliana_TAIR10	Pavag04G145600	Pvaginatum_v3.1	many-to-many
