genome	Method	copies	medianage	meanage	meanage90	nIdentical	nYoung	propIdentical	propYoung	mya	ploidy
achine	structural	12086	0.9866	0.984179323183849	0.984226200331126	534	4602	0.0441833526394175	0.380771140162171	4.26158364328108	Tetraploid
agerar	structural	55627	0.9802	0.976666241213799	0.976729454728624	2443	17067	0.0439175220666223	0.306811440487533	3.87446232682465	Hexaploid
atenui	structural	18204	0.9904	0.985940518567348	0.986010065416964	1354	9413	0.0743792573060866	0.51708415732806	1.61654309263952	Tetraploid
avirgi	structural	9428	0.9878	0.982963438693254	0.982991034482759	611	4155	0.0648069579974544	0.440708527789563	0	Diploid
blagur	structural	23210	0.976	0.972094364498061	0.972375914396887	739	5455	0.0318397242567859	0.235028005170185	5.90657576877844	Hexaploid
ccitra	structural	28680	0.9897	0.983930606694561	0.983979646943902	3504	13979	0.122175732217573	0.487412831241283	2.70470511216336	Tetraploid
crefra	structural	11836	0.9911	0.986841314633322	0.986864810276346	960	6426	0.0811084825954714	0.542919905373437	0	Diploid
cserru	structural	7019	0.9739	0.97260152443368	0.972624682912926	336	1055	0.0478700669611056	0.150306311440376	0	Diploid
etrips	structural	33221	0.9553	0.95620787453719	0.956610141152238	306	2602	0.00921104120887391	0.0783239517172873	3.8444787428513	Tetraploid
hcompr	structural	90644	0.9911	0.985535679140373	0.985567239057982	4150	48841	0.0457835046997043	0.538822205551388	1.52728159556422	Hexaploid
hconto	structural	20878	0.9936	0.989116816744899	0.989182788535276	2241	13290	0.10733786761184	0.636555225596321	3.71630137683411	Tetraploid
irugos	structural	13379	0.9968	0.99455792660139	0.99455792660139	1966	11546	0.146946707526721	0.862994244711862	0	Diploid
ppanic	structural	9113	0.9906	0.984677789970372	0.98475857221307	716	4723	0.0785690771425436	0.51827060243608	0	Diploid
rrottb	structural	19746	0.9907	0.986953934974172	0.986988231420031	1107	10372	0.0560619872379216	0.525270940950066	4.37548408225142	Tetraploid
rtuber	structural	15511	0.99	0.985516659145123	0.985657160382231	304	7713	0.0195989942621365	0.497260009025853	0	Diploid
smicro	structural	8860	0.9863	0.981709977426637	0.981814610169492	633	3820	0.0714446952595937	0.431151241534989	0	Diploid
snutan	structural	33778	0.989	0.985315675883711	0.985321275461866	1583	15575	0.0468648232577417	0.461098940138552	2.17312661877729	Tetraploid
sscopa	structural	27095	0.9835	0.979533677800332	0.97956362696596	1156	9409	0.0426646982838162	0.347259642000369	4.46718167213026	Tetraploid
tdacn1	structural	42857	0.9837	0.978898525328418	0.979038507023161	1861	15121	0.0434234780782603	0.352824509415031	13.2500744906375	Paleotetraploid
tdacn2	structural	41990	0.9835	0.978695470350083	0.978841886540388	1786	14531	0.0425339366515837	0.346058585377471	NA	NA
tdacs1	structural	41481	0.9844	0.979115016513585	0.979263772910579	1589	15220	0.038306694631277	0.366914973120224	13.213349551243	Paleotetraploid
tdacs2	structural	42824	0.9844	0.979264090229778	0.979395561168409	1639	15720	0.0382729310666916	0.367083878199141	NA	NA
telega	structural	24403	0.9738	0.968898160062287	0.969181170567186	494	4953	0.0202434126951604	0.202966848338319	0	Diploid
ttrian	structural	18725	0.9939	0.990460261682243	0.990460261682243	1978	12371	0.105634178905207	0.660667556742323	0	Diploid
udigit	structural	45213	0.9686	0.966565041028023	0.966814461975457	952	7116	0.0210558910047995	0.157388361754363	3.30501303667225	Hexaploid
vcuspi	structural	10103	0.9838	0.975162199346729	0.975784744241699	537	3920	0.0531525289517965	0.38800356329803	1.06364369703325	Tetraploid
zTIL01	structural	52100	0.9931	0.987927214971209	0.987947679932423	4735	31196	0.0908829174664108	0.598771593090211	14.436828402989	Paleotetraploid
zTIL11	structural	51163	0.9928	0.987644721771593	0.987689909853536	4320	30296	0.0844360182162891	0.592146668490902	15.0188665627843	Paleotetraploid
zTIL18	structural	51214	0.9926	0.987628121216855	0.987673789802696	4837	29812	0.0944468309446636	0.582106455266138	14.8631323179717	Paleotetraploid
zTIL25	structural	48503	0.9925	0.987328455971796	0.987371137741842	4735	28015	0.0976228274539719	0.577593138568748	14.8145673201728	Paleotetraploid
zdgigi	structural	64260	0.9856	0.982299181450358	0.982325363469381	2184	24358	0.0339869281045752	0.379053843759726	11.2159677776676	Paleotetraploid
zdmomo	structural	52492	0.98585	0.982467164520308	0.982499479742349	1877	20359	0.0357578297645356	0.387849577078412	11.2564450334986	Paleotetraploid
zluxur	structural	72859	0.9935	0.987316581342044	0.987350223107023	5512	43534	0.0756529735516546	0.597510259542404	14.8805341573301	Paleotetraploid
zmB735	structural	59384	NA	NA	NA	0	0	0	0	15.1660423149792	Paleotetraploid
zmhuet	structural	52040	0.9919	0.986963209069946	0.98699920993445	3722	29227	0.07152190622598	0.56162567255957	14.3194012165942	Paleotetraploid
znicar	structural	89579	0.9933	0.987381798189308	0.987419624769669	6245	53810	0.06971500016745	0.600698824501278	11.4434255193671	Paleotetraploid
