ltr	sg	age
alt-scaf_33:6521-17404:7847-16080	non-specific	0.2316972604980044
alt-scaf_33:98189-105766:99084-104872	non-specific	3.5610304985483716
alt-scaf_33:106988-120569:107149-120416	non-specific	3.262328254911109
alt-scaf_33:146254-161239:147735-159764	non-specific	0.8707018608840952
alt-scaf_33:181228-194542:181539-194236	non-specific	4.6744745756076584
alt-scaf_33:226149-238052:229196-235005	non-specific	0.989868185051548
alt-scaf_33:279741-285055:279863-284932	non-specific	5.444484363371464
alt-scaf_33:322654-332604:322822-332433	non-specific	1.8463075954590158
alt-scaf_33:333718-339980:333973-339720	non-specific	2.619241278648943
alt-scaf_33:348819-360373:349727-359473	non-specific	1.2537799446370426
alt-scaf_33:361251-373954:361741-373453	non-specific	1.8176192252712668
alt-scaf_33:415641-423701:416272-423072	non-specific	2.877307879912067
alt-scaf_33:427369-429127:427552-428944	non-specific	3.5566793176296265
alt-scaf_33:446736-458167:447520-457386	non-specific	3.374519869783242
alt-scaf_33:473359-480900:474093-480170	non-specific	1.780776052077726
alt-scaf_33:506562-517061:506735-516882	non-specific	1.9901789852005258
alt-scaf_33:528631-543404:529037-542998	non-specific	0.6692421106856435
alt-scaf_33:693558-695248:693926-694874	non-specific	4.185659028211912
alt-scaf_33:707464-720990:708653-719804	non-specific	1.9366572400237914
alt-scaf_33:784728-789188:785215-788698	non-specific	3.4048000070651705
alt-scaf_33:829314-834681:830389-833610	non-specific	3.5740879807084776
alt-scaf_33:858611-868446:860032-867026	non-specific	1.9284319323415522
alt-scaf_33:930835-947207:932484-945540	non-specific	1.3947190656071204
alt-scaf_33:969227-976814:970789-975246	non-specific	1.1775575342381297
alt-scaf_33:1016112-1031370:1016864-1030623	non-specific	1.1975965443153918
alt-scaf_33:1054906-1063488:1056178-1062210	non-specific	1.3866468243774
alt-scaf_33:1074884-1089802:1076670-1088021	non-specific	0.9421425646027266
alt-scaf_33:1355705-1368984:1356560-1368135	non-specific	2.1430559013996686
alt-scaf_33:1405444-1415969:1407108-1414302	non-specific	1.3463194672624232
alt-scaf_33:1439846-1449904:1441056-1448674	non-specific	1.4432000078528344
alt-scaf_33:1467735-1478766:1468571-1477921	non-specific	1.3987560334740585
alt-scaf_33:1505347-1515033:1506450-1513925	non-specific	1.3503496668982067
alt-scaf_33:1537733-1545686:1538237-1545172	non-specific	1.2216617463614496
alt-scaf_33:1567397-1578487:1569093-1576796	non-specific	1.536350181948575
alt-scaf_33:1648966-1654536:1649070-1654422	non-specific	4.319371352825048
alt-scaf_33:1672972-1680593:1673106-1680460	non-specific	5.993147575266556
alt-scaf_33:1727179-1738071:1728217-1737044	non-specific	3.7487549015795834
alt-scaf_33:1740975-1753686:1741468-1753186	non-specific	2.2343412745620648
alt-scaf_33:1800113-1813213:1800606-1812721	non-specific	1.7644164010813685
alt-scaf_33:1818518-1829378:1818910-1828983	non-specific	2.0107907430236622
alt-scaf_33:1863018-1870802:1864035-1869792	non-specific	2.196962335545116
alt-scaf_33:1965126-1970431:1965426-1970131	non-specific	1.3060484097010183
alt-scaf_33:1992248-2008259:1993665-2006845	non-specific	1.021729189363282
alt-scaf_33:2120369-2129408:2120762-2129016	non-specific	1.7072305775033008
alt-scaf_33:2146941-2158465:2149030-2156367	non-specific	0.5906207650784286
alt-scaf_33:2172582-2186172:2173557-2185193	non-specific	1.6990704207738756
alt-scaf_33:2186692-2194654:2186993-2194348	non-specific	1.9448848937721404
alt-scaf_33:2261326-2269032:2262027-2268330	non-specific	0.3287897582414224
alt-scaf_33:2281393-2292805:2281770-2292435	non-specific	0.9302234870227112
alt-scaf_33:2355004-2363436:2355118-2363327	non-specific	7.177018214272715
alt-scaf_33:2375681-2386031:2377156-2384561	non-specific	1.8299107475847176
alt-scaf_33:2414473-2424726:2415936-2423263	non-specific	1.7603279376281133
alt-scaf_33:2693118-2707815:2693340-2707594	non-specific	3.2838697045315204
alt-scaf_33:2819458-2833180:2819650-2832985	non-specific	1.6135278556818227
alt-scaf_33:2869524-2884097:2870923-2882697	non-specific	2.105794987052601
alt-scaf_33:2966260-2983736:2969155-2980833	non-specific	1.105532143894263
alt-scaf_33:3077001-3079665:3077277-3079387	non-specific	1.5566400849066173
alt-scaf_33:3100129-3110120:3101738-3108507	non-specific	1.2658334947168062
alt-scaf_33:3170054-3179637:3170677-3179004	non-specific	1.8135232147785982
