#chrom	subgenome	bootstrap
ctg_206679	SG1	100
ctg_1	SG1	100
ctg_101032	SG1	100
ctg_148177	SG1	100
ctg_113650	SG1	100
ctg_237924	SG1	100
ctg_309835	SG1	100
ctg_58796	SG1	100
ctg_247680	SG1	100
ctg_301304	SG1	100
ctg_181358	SG1	100
ctg_38299	SG1	100
ctg_9758	SG1	100
ctg_360714	SG1	100
ctg_47851	SG1	100
ctg_316948	SG1	100
ctg_123334	SG1	100
ctg_263708	SG2	100
ctg_196132	SG2	100
ctg_275353	SG2	100
ctg_288726	SG2	100
ctg_84863	SG2	100
ctg_354607	SG2	100
ctg_108803	SG2	100
ctg_30489	SG2	100
ctg_17409	SG2	100
ctg_350085	SG2	100
ctg_230464	SG2	100
ctg_297118	SG2	100
ctg_115863	SG2	100
ctg_163283	SG2	100
ctg_89772	SG2	100
ctg_20910	SG2	100
ctg_170891	SG2	100
ctg_92803	SG2	100
ctg_72661	SG2	100
