#chrom	subgenome	bootstrap
scaf_18	SG1	92
scaf_7	SG1	90
scaf_1	SG1	90
scaf_50	SG1	97
scaf_66	SG1	94
scaf_70	SG1	84
scaf_113	SG1	88
scaf_34	SG1	92
scaf_45	SG1	94
scaf_5	SG1	92
scaf_9	SG1	92
alt-scaf_41	SG1	98
scaf_15	SG1	85
scaf_2	SG1	94
scaf_44	SG1	90
alt-scaf_37	SG1	91
scaf_13	SG1	91
scaf_81	SG1	77
scaf_129	SG1	97
scaf_4	SG1	91
scaf_42	SG1	37
alt-scaf_22	SG1	91
scaf_6	SG1	91
alt-scaf_17	SG1	92
scaf_12	SG1	91
scaf_65	SG1	90
alt-scaf_16	SG1	100
scaf_14	SG1	92
scaf_25	SG1	89
scaf_3	SG2	62
scaf_39	SG2	84
scaf_35	SG2	81
alt-scaf_46	SG2	36
scaf_8	SG2	92
scaf_52	SG2	82
scaf_40	SG2	54
alt-scaf_38	SG2	53
scaf_10	SG2	81
scaf_26	SG2	48
alt-scaf_43	SG2	92
