V2	haploid	species	speciesLabel	ploidy	flow	rawAssemblySize	haploidAssemblySize	rawRepeatSize	haploidRepeatSize	rawNCount	haploidNCount	gc
achine	TRUE	Andropogon chinensis	Andropogon chinensis*	Tetraploid	1449	1335640055	1335640055	789601102	789601102	0	0	0.460426306247606
agerar	FALSE	Andropogon gerardi	Andropogon gerardi	Hexaploid	3063.5	4598175493	2299087746.5	3217316866	1608658433	26847636	13423818	0.461782838386339
atenui	FALSE	"Andropogon" burmanicus	"Andropogon" burmanicus	Tetraploid	1849	1946409527	973204763.5	1102056601	551028300.5	0	0	0.450920410029415
avirgi	TRUE	Anatherum virginicum	Anatherum virginicum*	Diploid	1068	905672792	905672792	580187431	580187431	84577	84577	0.470050588058945
blagur	FALSE	Bothriochloa laguroides	Bothriochloa laguroides	Hexaploid	4265	3514573948	1757286974	2085892766	1042946383	17033081	8516540.5	0.462710980812108
cserru	FALSE	Chrysopogon serrulatus	Chrysopogon serrulatus	Diploid	679	1325370691	662685345.5	632332628	316166314	209129838	104564919	0.440962057316854
ccitra	FALSE	Cymbopogon citratus	Cymbopogon citratus	Tetraploid	2132	2391180077	1195590038.5	1487775844	743887922	0	0	0.45751109902711
crefra	TRUE	Cymbopogon refractus	Cymbopogon refractus*	Diploid	950.5	812929409	812929409	518914505	518914505	4409352	4409352	0.462057035896142
etrips	TRUE	Elionurus tripsacoides	Elionurus tripsacoides*	Tetraploid	4599.75	4766700579	4766700579	3456784149	3456784149	362438482	362438482	0.443046271548902
hcompr	FALSE	Hemarthria compressa	Hemarthria compressa	Hexaploid	3532	6136823671	3068411835.5	4475963922	2237981961	101308828	50654414	0.44259904639257
hconto	FALSE	Heteropogon contortus	Heteropogon contortus	Tetraploid	1235	2093968211	1046984105.5	1135807785	567903892.5	17001564	8500782	0.458771225515977
irugos	TRUE	Ischaemum rugosum	Ischaemum rugosum*	Diploid	NA	704846194	704846194	405850534	405850534	0	0	0.450604846424126
ppanic	TRUE	Pogonatherum paniceum	Pogonatherum paniceum*	Diploid	912	799622294	799622294	520289773	520289773	0	0	0.454228931240879
rrottb	TRUE	Rhytachne rottboellioides	Rhytachne rottboellioides*	Tetraploid	1772.5	1446746720	1446746720	949921854	949921854	0	0	0.463393761141549
rtuber	TRUE	Rottboellia tuberculosa	Rottboellia tuberculosa*	Diploid	1751	1572892435	1572892435	1179427683	1179427683	0	0	0.441850540784119
smicro	TRUE	Schizachyrium microstachyum	Schizachyrium microstachyum*	Diploid	1043	921361800	921361800	584291065	584291065	0	0	0.461454969155439
sscopa	FALSE	Schizachyrium scoparium	Schizachyrium scoparium	Tetraploid	2085	3814175843	1907087921.5	2301769171	1150884585.5	460249729	230124864.5	0.467074929128865
snutan	FALSE	Sorghastrum nutans	Sorghastrum nutans	Tetraploid	2541	5340297046	2670148523	2980995992	1490497996	1385985114	692992557	0.460611220440259
telega	FALSE	Thelepogon elegans	Thelepogon elegans	Diploid	1698.333333	3027872127	1513936063.5	2291597068	1145798534	0	0	0.447728516310623
ttrian	FALSE	Themeda triandra	Themeda triandra	Diploid	854.5	1573223794	786611897	790666836	395333418	183455811	91727905.5	0.46184148998344
tdacn1	TRUE	Tripsacum dactyloides KS	Tripsacum dactyloides KS*	Paleotetraploid	NA	2597784422	2597784422	2150528540	2150528540	602152	602152	0.459597544534293
tdacs1	TRUE	Tripsacum dactyloides FL	Tripsacum dactyloides FL*	Paleotetraploid	NA	2741344584	2741344584	2309226911	2309226911	899000	899000	0.458509335246848
udigit	TRUE	Urelytrum digitatum	Urelytrum digitatum*	Hexaploid	5440	4704547749	4704547749	3706582941	3706582941	11478678	11478678	0.461422321350701
vcuspi	FALSE	Vossia cuspidata	Vossia cuspidata	Tetraploid	1576	1997370446	998685223	1240401823	620200911.5	101230925	50615462.5	0.446612002239892
zdgigi	TRUE	Zea diploperennis Gigi	Zea diploperennis Gigi*	Paleotetraploid	NA	3290921811	3290921811	2740951583	2740951583	25104031	25104031	0.455622072704865
