ltr	sg	age
ctg_263708:88200-89912:88691-89420	non-specific	0.07702582372727655
ctg_263708:578941-584275:579134-584082	non-specific	-0.0
ctg_263708:890019-895604:890343-895280	non-specific	0.8390071412047115
ctg_263708:1075317-1082071:1075871-1081521	non-specific	0.4184044096985135
ctg_263708:1149208-1151200:1149531-1150873	non-specific	2.8306003268637174
ctg_263708:1492168-1500212:1492649-1499734	SG2	1.3906826626275859
ctg_263708:1505768-1511346:1506120-1510991	SG2	1.55258096242808
ctg_263708:1570589-1580143:1570856-1579869	non-specific	1.1415223592256711
ctg_263708:1592505-1593665:1592635-1593525	non-specific	8.139983421576725
ctg_263708:1632903-1644992:1635730-1642162	SG2	0.04233874831830783
ctg_263708:1669550-1673855:1669875-1673518	SG2	2.246811692155006
ctg_263708:1693260-1701735:1694869-1700129	SG2	0.5788460235667527
ctg_263708:1708686-1716049:1708996-1715739	SG2	0.371614206663854
ctg_263708:1786079-1800500:1787446-1799129	SG2	0.2821445727434284
ctg_263708:1806720-1815343:1807913-1814158	SG2	0.8508885804525887
ctg_263708:1923878-1929685:1924220-1929343	non-specific	0.223943960129828
ctg_263708:1989062-2003937:1990387-2002614	SG2	0.6141846769506408
ctg_263708:2113778-2125076:2114274-2124572	non-specific	0.9302234870227112
ctg_263708:2399085-2405737:2399642-2405180	non-specific	0.7678210933930363
ctg_263708:2420452-2433601:2420661-2433390	SG2	2.8603145634582257
ctg_263708:3948851-3955745:3949368-3955233	non-specific	0.5239606911828192
ctg_263708:4941548-4954288:4942036-4953805	SG2	1.041660202279573
ctg_263708:5030482-5041399:5031734-5040145	SG2	0.6495666758827615
ctg_263708:5698058-5704741:5698531-5704268	non-specific	-0.0
ctg_263708:6034979-6049364:6035820-6048523	SG2	0.6928703608909715
ctg_263708:6117570-6124326:6118135-6123765	non-specific	1.1095288399652459
ctg_263708:6259237-6273417:6259562-6273099	SG2	1.4512880925395428
ctg_263708:6790413-6795367:6790612-6795162	non-specific	2.535129383957315
ctg_263708:8090438-8099349:8090960-8098827	non-specific	-0.0
ctg_263708:9123998-9131805:9124356-9131439	non-specific	1.3947190656071204
ctg_263708:9823839-9836674:9824333-9836180	SG2	0.15425787480563197
ctg_263708:9922135-9931660:9922504-9931290	non-specific	2.151342644876983
ctg_263708:10449936-10460825:10452162-10458597	SG2	0.2084436084155681
ctg_263708:10892223-10897805:10892561-10897466	non-specific	0.45745430580167235
ctg_263708:11118993-11131577:11121235-11129322	non-specific	0.6889309749038077
ctg_263708:11167688-11171069:11168022-11170740	non-specific	1.1735514021788922
ctg_263708:11173531-11186947:11174391-11186087	SG2	0.08859745743710688
ctg_263708:11197876-11203895:11198143-11203628	non-specific	0.8746661505689095
ctg_263708:11513708-11524897:11514272-11524317	SG2	1.7031502105899017
ctg_263708:11796622-11802418:11796941-11802099	non-specific	0.23945264536691951
ctg_263708:11888698-11894375:11889072-11894000	non-specific	0.2045698215506616
ctg_263708:11977612-11991462:11977896-11991178	SG2	1.241731429106717
ctg_263708:12100963-12106481:12101296-12106148	non-specific	-0.0
ctg_263708:12462287-12467390:12462623-12467055	non-specific	0.46136220445238946
ctg_263708:12501880-12514895:12502556-12514220	SG2	0.11561600185208139
ctg_263708:12767342-12772603:12767444-12772500	non-specific	0.371614206663854
ctg_263708:12812342-12824041:12813273-12823106	SG2	3.862858199603861
ctg_263708:13115852-13130173:13116692-13129342	SG2	1.069586776194829
ctg_263708:13207568-13226792:13213265-13221095	SG2	0.28991353423561544
ctg_263708:13676626-13689427:13677318-13688741	non-specific	0.5043840675294086
ctg_263708:13701501-13711865:13703462-13709902	SG2	0.37551049272990805
ctg_263708:13745187-13755283:13747984-13752484	non-specific	0.19295158127298032
ctg_263708:13774217-13788391:13775523-13787086	SG2	0.47308907791675536
ctg_263708:14196597-14202492:14196735-14202349	non-specific	7.251103060695123
ctg_263708:14312870-14327102:14314001-14325969	SG2	0.6535006893694114
ctg_263708:14619986-14628449:14620092-14628341	SG2	2.5813605721596975
