genome	nfam	H	S	HN	J	JN	ploidy	haploidRepeatSize	mya
achine	16462	8.36467080935939	16462	8.87686048062106	0.86155469436136	0.914309838674408	Tetraploid	789601102	4.26158364328108
agerar	32543	8.31640633411431	32543	8.88809335497688	0.800399629509813	0.855420760189414	Hexaploid	1608658433	3.87446232682465
atenui	10933	7.30637692773594	10933	7.98977038867731	0.785670702891484	0.859157497525775	Tetraploid	551028300.5	1.61654309263952
avirgi	7265	7.1977001054019	7265	8.02372790447218	0.809565058160406	0.902472963936387	Diploid	580187431	0
blagur	20366	8.03232315937333	20366	8.54324483218945	0.809577613419717	0.861073393695963	Hexaploid	1042946383	5.90657576877844
ccitra	20931	8.30576392799664	20931	8.56824602409637	0.834835171470458	0.86121796871885	Tetraploid	743887922	2.70470511216336
crefra	6775	7.05563367506535	6775	7.69525502720845	0.799868264115371	0.872379514584321	Diploid	518914505	0
cserru	11543	7.99864213335698	11543	8.54997461075212	0.855119059208243	0.914060927280445	Diploid	316166314	0
etrips	19413	7.69958490583093	19413	8.03416545841068	0.77980759907465	0.813693641062018	Tetraploid	3456784149	3.8444787428513
hcompr	32410	7.93911282400598	32410	8.85241428364563	0.76438887957943	0.852322820679407	Hexaploid	2237981961	1.52728159556422
hconto	19555	8.44898432683097	19555	8.99726724250214	0.855074997703905	0.910563680689125	Tetraploid	567903892.5	3.71630137683411
irugos	7588	7.38041779425169	7588	7.86401383338519	0.826074624879314	0.880202511369896	Diploid	405850534	0
ppanic	7169	7.07100780907502	7169	7.80629661412195	0.796506980673776	0.879332892035309	Diploid	520289773	0
rrottb	14308	7.79254105478045	14308	8.43685847288459	0.814388954198711	0.881725781122445	Tetraploid	949921854	4.37548408225142
rtuber	6699	6.58764083820863	6699	7.35433820616469	0.74777015256146	0.834798790261277	Diploid	1179427683	0
smicro	7415	7.47560639374785	7415	8.08367035767386	0.838894407770483	0.907129870157976	Diploid	584291065	0
snutan	17487	7.847356551756	17487	8.68996017684737	0.803274176773257	0.889525098192137	Tetraploid	1490497996	2.17312661877729
sscopa	21122	8.21315296540985	21122	8.74575683144391	0.824773536488949	0.878258181909122	Tetraploid	1150884585.5	4.46718167213026
tdacn1	15689	7.39644141824546	15689	8.17660291233307	0.765620488226878	0.846376569458825	Paleotetraploid	2150528540	13.2500744906375
tdacn2	15550	7.645205697381	15550	8.1535141207261	0.792100239234172	0.844764776942338	NA	NA	NA
tdacs1	15464	7.58398670227169	15464	8.30966133195045	0.786209248325956	0.861437769620444	Paleotetraploid	2309226911	13.213349551243
tdacs2	15238	7.44471170252218	15238	8.21834364332467	0.77295072627218	0.85327342974343	NA	NA	NA
telega	12181	6.86826269690735	12181	6.83659658536678	0.730073437170948	0.726707435037007	Diploid	1145798534	0
ttrian	12136	7.64846108762347	12136	8.46385594560804	0.813325902099622	0.900033770628997	Diploid	395333418	0
udigit	30716	8.35991577014234	30716	8.89534604134479	0.809086304348863	0.860906120633485	Hexaploid	3706582941	3.30501303667225
vcuspi	13175	7.61798879088593	13175	7.94369479857608	0.803070573228773	0.837405739304721	Tetraploid	620200911.5	1.06364369703325
zTIL01	13032	7.05100146627875	13032	7.55526461824213	0.744156206541835	0.797375675585846	Paleotetraploid	2163514042	14.436828402989
zTIL11	12107	7.04508068497967	12107	7.50441065411845	0.749353975715936	0.798210866634654	Paleotetraploid	1950381768	15.0188665627843
zTIL18	12065	6.25291013697173	12065	7.05628262450224	0.66534023939078	0.750823003650108	Paleotetraploid	2081999391	14.8631323179717
zTIL25	11335	6.63598083260929	11335	7.18386371685805	0.710821467434865	0.769508634499966	Paleotetraploid	1722707510	14.8145673201728
zdgigi	13379	6.9371512999106	13379	7.77092247011687	0.730115660070544	0.817867730331832	Paleotetraploid	2740951583	11.2159677776676
zdmomo	12819	7.09441167488531	12819	7.61020981598333	0.750042170947125	0.804573874948627	Paleotetraploid	2079935113	11.2564450334986
zluxur	17073	7.1939898690155	17073	7.83553605392191	0.738204484277363	0.80403614086736	Paleotetraploid	2658726801	14.8805341573301
zmB735	7468	5.6344785419921	7468	6.42058603810911	0.631782561360984	0.719927188002206	Paleotetraploid	1738376924	15.1660423149792
zmhuet	13237	7.17212664586186	13237	7.54418391325823	0.755694819876771	0.794896825579107	Paleotetraploid	1987543053	14.3194012165942
znicar	17515	7.01286343079844	17515	7.57664954489026	0.717735921974759	0.775436966688842	Paleotetraploid	3411190476	11.4434255193671
