#chrom	subgenome	bootstrap
Hap1_Chr01A	SG1	100
Hap2_Chr01A	SG1	6
Hap1_Chr02A	SG1	1
Hap2_Chr02A	SG1	6
Hap1_Chr03A	SG1	6
Hap2_Chr03A	SG1	6
Hap1_Chr04A	SG1	6
Hap2_Chr04A	SG1	6
Hap1_Chr05A	SG1	6
Hap2_Chr05A	SG1	6
Hap1_Chr06A	SG1	6
Hap2_Chr06A	SG1	6
Hap1_Chr07A	SG1	6
Hap2_Chr07A	SG1	6
Hap1_Chr08A	SG1	6
Hap2_Chr08A	SG1	6
Hap1_Chr09A	SG1	6
Hap2_Chr09A	SG1	6
Hap1_Chr10A	SG1	6
Hap2_Chr10A	SG1	92
Hap2_scaffold_31	SG1	6
Hap1_Chr01B	SG2	93
Hap2_Chr01B	SG2	93
Hap1_Chr02B	SG2	93
Hap2_Chr02B	SG2	0
Hap1_Chr03B	SG2	93
Hap2_Chr03B	SG2	93
Hap1_Chr04B	SG2	93
Hap2_Chr04B	SG2	93
Hap1_Chr05B	SG2	93
Hap2_Chr05B	SG2	93
Hap1_Chr06B	SG2	93
Hap2_Chr06B	SG2	93
Hap1_Chr07B	SG2	14
Hap2_Chr07B	SG2	93
Hap1_Chr08B	SG2	93
Hap2_Chr08B	SG2	93
Hap1_Chr09B	SG2	93
Hap2_Chr09B	SG2	93
Hap1_Chr10B	SG2	93
Hap2_Chr10B	SG2	93
Hap1_Chr01C	SG3	91
Hap2_Chr01C	SG3	0
Hap1_Chr02C	SG3	0
Hap2_Chr02C	SG3	0
Hap1_Chr03C	SG3	0
Hap2_Chr03C	SG3	0
Hap1_Chr04C	SG3	0
Hap2_Chr04C	SG3	0
Hap1_Chr05C	SG3	0
Hap2_Chr05C	SG3	0
Hap1_Chr06C	SG3	0
Hap2_Chr06C	SG3	0
Hap1_Chr07C	SG3	0
Hap2_Chr07C	SG3	0
Hap1_Chr08C	SG3	0
Hap2_Chr08C	SG3	0
Hap1_Chr09C	SG3	0
Hap2_Chr09C	SG3	0
Hap1_Chr10C	SG3	91
Hap2_Chr10C	SG3	0
